fecha,precio_apertura,precio_cierre,precio_max,precio_min,volumen,tendencia
2023-01-02,101.51,101.04,102.65,100.41,3778621,0
2023-01-03,101.78,100.81,102.53,100.37,4656766,0
2023-01-04,101.46,102.17,102.22,100.79,1397991,1
2023-01-05,105.63,105.33,106.18,105.33,3831404,1
2023-01-06,104.55,104.89,105.48,104.41,1914188,0
2023-01-09,104.2,104.45,104.78,103.82,2207359,0
2023-01-10,107.49,107.81,108.58,106.89,318401,1
2023-01-11,109.04,109.51,110.07,108.21,1085132,1
2023-01-12,108.57,108.54,109.48,108.46,259292,0
2023-01-13,109.32,109.77,110.24,108.03,4791066,1
2023-01-16,108.96,108.81,110.11,107.82,3267759,0
2023-01-17,107.82,107.85,108.02,107.66,563937,0
2023-01-18,108.3,108.43,110.23,107.68,3064391,1
2023-01-19,103.86,104.33,104.91,102.31,2781206,0
2023-01-20,100.49,100.79,102.19,100.43,1292097,0
2023-01-23,100.08,99.7,100.24,99.61,287771,0
2023-01-24,97.98,97.73,98.49,96.55,337199,0
2023-01-25,97.91,98.4,98.78,97.42,2957281,1
2023-01-26,96.71,96.66,96.95,95.87,2832481,0
2023-01-27,94.33,93.98,94.65,92.58,4934777,0
2023-01-30,95.97,96.78,97.18,95.03,2374316,1
2023-01-31,96.65,96.39,97.09,95.94,3702615,0
2023-02-01,96.25,96.57,96.59,96.07,1683214,1
2023-02-02,94.13,93.86,95.75,93.14,851518,0
2023-02-03,92.53,92.89,94.17,92.26,613313,0
2023-02-06,92.3,93.14,93.47,91.5,4031586,1
2023-02-07,90.3,91.04,91.07,88.94,3314215,0
2023-02-08,91.8,91.77,91.88,90.64,3560989,1
2023-02-09,90.84,90.72,91.28,90.36,2432214,0
2023-02-10,89.83,90.23,90.97,89.02,2430229,0
2023-02-13,89.48,89.19,89.66,89.09,1963462,0
2023-02-14,91.77,92.54,93.78,90.47,754224,1
2023-02-15,92.53,92.56,92.86,92.29,2350397,1
2023-02-16,90.1,90.65,91.12,90.0,2099284,0
2023-02-17,91.89,92.19,92.54,91.54,2101676,1
2023-02-20,90.0,89.98,91.14,88.83,1784532,0
2023-02-21,90.01,90.4,91.29,89.64,554418,1
2023-02-22,86.74,86.91,87.92,86.37,1572542,0
2023-02-23,85.07,84.64,85.22,83.85,4573014,0
2023-02-24,84.77,85.02,85.73,82.82,4956854,1
2023-02-27,86.67,86.31,87.84,86.3,662621,1
2023-02-28,86.16,86.65,86.97,84.94,3629801,1
2023-03-01,86.73,86.5,87.47,85.35,4908163,0
2023-03-02,86.64,86.02,86.67,85.7,1698099,0
2023-03-03,82.49,83.52,83.63,82.09,4294463,0
2023-03-06,82.03,82.36,82.94,81.72,3913233,0
2023-03-07,81.88,81.64,82.3,80.99,1311569,0
2023-03-08,83.32,83.41,84.46,83.12,4661307,1
2023-03-09,84.18,84.02,85.17,83.51,1295885,1
2023-03-10,80.86,81.1,82.0,80.06,1256083,0
2023-03-13,81.7,81.67,82.11,81.6,2074324,1
2023-03-14,81.02,81.08,81.34,80.88,3998190,0
2023-03-15,80.49,80.02,80.81,79.46,3488445,0
2023-03-16,81.14,81.04,81.31,80.5,2842974,1
2023-03-17,82.89,82.75,83.26,82.6,3592099,1
2023-03-20,84.16,84.33,84.79,83.91,1379180,1
2023-03-21,82.76,82.96,82.98,82.15,3433178,0
2023-03-22,82.31,82.49,83.26,81.78,4631211,0
2023-03-23,83.24,83.08,83.6,82.09,2684182,1
2023-03-24,84.56,84.74,84.99,84.38,1908286,1
2023-03-27,84.09,83.97,84.61,83.96,4699757,0
2023-03-28,84.57,83.7,86.5,83.2,4965313,0
2023-03-29,82.25,81.89,83.0,80.3,4463089,0
2023-03-30,79.84,79.97,81.09,79.28,2897921,0
2023-03-31,81.8,81.31,82.04,80.83,4474142,1
2023-04-03,83.39,83.56,84.31,83.2,369160,1
2023-04-04,82.63,83.48,84.34,82.58,2669931,0
2023-04-05,84.77,85.2,85.99,84.42,541904,1
2023-04-06,85.05,85.86,86.18,83.99,678526,1
2023-04-07,84.64,84.79,85.03,84.28,937393,0
2023-04-10,85.45,85.45,85.49,84.9,3445503,1
2023-04-11,88.86,88.12,89.19,87.23,914422,1
2023-04-12,88.24,88.1,88.3,87.89,834983,0
2023-04-13,90.8,90.9,91.83,89.81,2363429,1
2023-04-14,86.54,86.18,87.23,85.86,3235812,0
2023-04-17,86.67,87.64,87.99,86.65,4375115,1
2023-04-18,87.94,87.84,89.04,86.7,2976280,1
2023-04-19,87.69,87.36,87.99,86.54,3038687,0
2023-04-20,86.91,87.56,88.61,86.4,1516842,1
2023-04-21,84.6,84.12,85.18,83.58,2431256,0
2023-04-24,83.94,83.8,84.17,83.66,3789024,0
2023-04-25,84.26,84.44,84.67,83.49,4496650,1
2023-04-26,87.25,86.97,87.47,86.27,3802418,1
2023-04-27,87.09,86.12,88.54,86.07,2381608,0
2023-04-28,84.84,84.77,85.1,84.48,4030010,0
2023-05-01,84.06,83.96,84.35,83.49,3741771,0
2023-05-02,85.34,85.54,86.24,85.22,4179441,1
2023-05-03,85.78,86.14,86.31,85.53,1060652,1
2023-05-04,85.63,85.27,85.8,84.71,2288370,0
2023-05-05,85.82,86.19,86.33,85.76,1648485,1
2023-05-08,86.43,86.4,86.48,85.66,1667343,1
2023-05-09,87.91,88.12,88.15,85.85,3425495,1
2023-05-10,87.13,86.93,87.64,86.62,3485744,0
2023-05-11,86.54,86.4,86.58,85.77,855612,0
2023-05-12,86.21,85.77,86.72,84.14,4094528,0
2023-05-15,83.09,83.3,83.35,82.41,2176475,0
2023-05-16,83.72,83.83,83.89,83.3,2241912,1
2023-05-17,83.9,84.31,85.66,82.52,3244311,1
2023-05-18,84.18,84.36,84.98,84.16,385622,1
2023-05-19,84.17,84.01,84.4,83.52,2062889,0
2023-05-22,81.98,81.67,82.64,81.55,2006862,0
2023-05-23,80.65,81.03,82.9,79.77,4126390,0
2023-05-24,80.86,80.51,82.21,80.1,1496436,0
2023-05-25,79.8,79.26,79.89,78.75,767540,0
2023-05-26,79.21,79.04,79.91,78.74,2295690,0
2023-05-29,80.47,79.72,81.14,79.11,1688236,1
2023-05-30,82.45,82.77,83.18,82.37,4805815,1
2023-05-31,82.58,83.1,83.8,81.51,3082410,1
2023-06-01,82.83,83.57,83.99,82.61,1504355,1
2023-06-02,84.11,83.49,85.4,83.32,2775480,0
2023-06-05,80.59,80.33,80.71,80.14,3524083,0
2023-06-06,80.3,80.32,80.46,79.3,2564722,0
2023-06-07,80.57,80.46,81.13,79.89,3001092,1
2023-06-08,83.99,84.46,84.8,83.94,2350229,1
2023-06-09,85.21,84.18,85.31,84.06,1622534,0
2023-06-12,84.79,84.73,85.03,82.57,1822907,1
2023-06-13,84.76,84.71,86.39,84.51,2615967,0
2023-06-14,83.08,82.78,83.12,82.28,4775112,0
2023-06-15,84.91,84.71,85.05,84.42,2970574,1
2023-06-16,86.12,86.03,86.85,85.24,2988939,1
2023-06-19,87.08,87.43,88.2,87.01,4086280,1
2023-06-20,86.09,85.88,86.9,84.9,2144940,0
2023-06-21,89.17,88.34,89.62,87.69,2199409,1
2023-06-22,86.48,85.9,87.27,85.44,3272382,0
2023-06-23,87.65,86.96,88.79,85.65,3981857,1
2023-06-26,90.58,90.81,91.64,89.79,4637871,1
2023-06-27,88.61,89.05,89.27,88.3,391464,0
2023-06-28,88.03,88.09,88.62,87.13,4839400,0
2023-06-29,88.33,88.31,88.38,88.26,2773829,1
2023-06-30,87.94,87.46,88.17,86.87,218581,0
2023-07-03,84.08,84.8,85.01,83.75,3952256,0
2023-07-04,85.6,84.95,85.89,84.38,438540,1
2023-07-05,83.13,83.19,84.27,82.7,601590,0
2023-07-06,83.84,84.02,84.33,83.15,1518412,1
2023-07-07,82.1,82.52,82.68,81.88,3460492,0
2023-07-10,84.41,85.12,85.77,84.14,1730369,1
2023-07-11,84.17,83.83,84.97,83.19,972328,0
2023-07-12,83.36,83.33,84.18,83.05,4909479,0
2023-07-13,84.18,84.73,85.13,82.79,3210691,1
2023-07-14,82.15,82.68,83.15,81.45,1458097,0
2023-07-17,82.96,83.1,83.3,82.95,3400354,1
2023-07-18,86.03,85.31,86.97,84.35,1394315,1
2023-07-19,82.51,82.61,82.71,82.45,2675508,0
2023-07-20,82.34,82.96,83.04,82.04,2476219,1
2023-07-21,83.33,83.43,83.55,82.62,1458311,1
2023-07-24,84.66,84.78,84.79,84.37,4610784,1
2023-07-25,81.61,82.73,83.45,81.49,1389467,0
2023-07-26,80.56,80.58,81.51,79.92,264074,0
2023-07-27,81.37,81.46,82.5,80.6,2670466,1
2023-07-28,82.27,81.99,82.83,80.29,3755180,1
2023-07-31,83.2,82.44,83.86,82.06,4583120,1
2023-08-01,83.52,83.05,84.96,82.84,890645,1
2023-08-02,81.85,81.96,82.38,81.73,3387093,0
2023-08-03,81.93,82.39,83.26,81.7,1117481,1
2023-08-04,83.98,82.91,85.08,82.69,3694804,1
2023-08-07,81.79,81.77,82.45,81.57,162507,0
2023-08-08,84.86,84.86,85.33,84.74,1205710,1
2023-08-09,85.69,85.71,87.25,84.79,2438377,1
2023-08-10,83.79,83.71,84.45,83.03,4487373,0
2023-08-11,84.79,84.85,85.07,84.01,906564,1
2023-08-14,83.0,83.24,84.9,82.12,4018949,0
2023-08-15,84.36,84.59,86.14,84.28,1709473,1
2023-08-16,86.58,86.59,87.55,85.11,1811952,1
2023-08-17,84.98,85.21,86.33,84.57,837954,0
2023-08-18,86.59,86.9,87.61,85.69,3008056,1
2023-08-21,87.7,87.66,89.42,87.64,807173,1
2023-08-22,89.03,89.14,90.13,88.32,4610579,1
2023-08-23,93.26,92.57,93.69,92.19,779447,1
2023-08-24,90.94,92.16,92.6,90.33,1161404,0
2023-08-25,91.31,90.82,91.94,90.42,3080248,0
2023-08-28,89.8,89.25,90.35,89.08,2713987,0
2023-08-29,86.92,87.84,88.03,86.67,2853913,0
2023-08-30,87.59,87.74,87.82,87.32,2635232,0
2023-08-31,88.22,88.39,88.43,87.57,2478907,1
2023-09-01,88.29,88.92,89.46,87.15,4632688,1
2023-09-04,90.08,90.44,90.64,89.85,2929915,1
2023-09-05,90.0,90.5,91.73,89.12,2463162,1
2023-09-06,94.0,93.18,94.07,92.05,4981909,1
2023-09-07,93.17,92.73,93.9,91.99,1015113,0
2023-09-08,98.45,97.82,99.32,97.49,2792794,1
2023-09-11,99.46,99.1,99.6,98.78,2311549,1
2023-09-12,96.9,97.45,98.53,96.88,2445704,0
2023-09-13,95.16,95.41,96.11,94.47,4681025,0
2023-09-14,96.61,96.38,97.83,96.13,523332,1
2023-09-15,95.41,96.0,96.76,94.51,392575,0
2023-09-18,97.76,97.41,98.5,96.49,1559700,1
2023-09-19,98.27,98.39,99.16,97.9,129336,1
2023-09-20,98.11,98.29,98.47,97.95,3301078,0
2023-09-21,97.02,96.68,97.45,96.46,1742425,0
2023-09-22,94.0,93.8,94.73,93.6,2707622,0
2023-09-25,92.84,93.0,93.08,92.4,1986963,0
2023-09-26,95.19,94.64,96.21,94.28,2872605,1
2023-09-27,94.58,95.1,95.55,93.92,1547947,1
2023-09-28,93.06,92.77,93.3,91.78,4276426,0
2023-09-29,93.42,93.14,94.61,93.05,3956756,1
2023-10-02,93.76,93.91,94.24,92.31,1598339,1
2023-10-03,92.44,92.29,92.46,91.56,776296,0
2023-10-04,92.04,92.62,93.03,91.55,479039,1
2023-10-05,93.21,92.78,93.37,92.4,628714,1
2023-10-06,90.62,90.7,91.69,90.49,3011190,0
2023-10-09,91.16,91.4,91.49,90.9,4735352,1
2023-10-10,92.95,92.47,93.27,92.11,652439,1
2023-10-11,94.19,94.52,94.61,93.71,4242535,1
2023-10-12,95.88,96.56,96.98,95.03,373452,1
2023-10-13,93.21,93.95,93.98,92.91,878883,0
2023-10-16,92.51,92.23,92.54,92.05,4471047,0
2023-10-17,92.63,93.23,93.75,92.13,2289921,1
2023-10-18,95.06,94.23,95.56,92.8,3298156,1
2023-10-19,94.26,95.25,96.32,94.16,4922139,1
2023-10-20,103.51,102.64,104.95,101.84,862371,1
2023-10-23,103.97,103.86,105.0,102.94,3357945,1
2023-10-24,106.22,106.27,106.86,106.12,3868950,1
2023-10-25,108.05,108.35,108.97,106.18,242980,1
2023-10-26,110.03,109.82,110.82,109.07,4796671,1
2023-10-27,109.16,109.18,109.44,108.69,2534003,0
2023-10-30,111.5,110.89,112.61,110.81,357354,1
2023-10-31,109.29,109.23,109.88,108.94,3306943,0
2023-11-01,108.85,108.77,109.09,108.6,2017160,0
2023-11-02,107.57,107.77,108.49,106.96,3415258,0
2023-11-03,107.97,108.0,109.85,107.59,4471545,1
2023-11-06,113.23,113.05,114.3,112.59,2335883,1
2023-11-07,107.95,108.89,109.16,107.73,2650982,0
2023-11-08,109.69,110.43,110.99,109.04,864265,1
2023-11-09,107.33,106.93,107.68,106.4,408617,0
2023-11-10,106.06,105.97,106.22,105.18,3080346,0
2023-11-13,108.23,108.33,108.45,107.29,844748,1
2023-11-14,108.54,108.53,108.57,108.06,3736562,1
2023-11-15,106.43,106.24,106.55,105.55,2154410,0
2023-11-16,104.49,104.77,105.58,104.19,2577748,0
2023-11-17,105.84,106.25,108.13,104.28,834275,1
2023-11-20,104.85,104.75,105.32,104.57,1397819,0
2023-11-21,104.74,105.26,106.41,104.45,1134186,1
2023-11-22,105.62,105.41,105.7,105.39,698506,1
2023-11-23,103.2,104.09,106.23,102.95,656718,0
2023-11-24,109.16,108.6,109.86,107.91,1696853,1
2023-11-27,110.29,110.03,111.74,108.61,452414,1
2023-11-28,105.77,105.63,107.19,104.74,3063944,0
2023-11-29,106.6,106.08,107.07,105.17,2447693,1
2023-11-30,105.6,104.73,106.08,103.93,2863545,0
2023-12-01,107.1,106.56,108.5,105.11,3616144,1
2023-12-04,103.96,104.93,105.25,103.88,4048401,0
